,id,name,equation,definition,enzyme,substrates,products,stoichiometry_substrates,stoichiometry_products
95,R00115,glutathione:NADP+ oxidoreductase,2 C00051 + C00006 <=> C00127 + C00005 + C00080,2 Glutathione + NADP+ <=> Glutathione disulfide + NADPH + H+,1.8.1.7,"['C00051', 'C00006']","['C00127', 'C00005', 'C00080']","['2', 1]","[1, 1, 1]"
96,R00118,NADP+ 2'-phosphohydrolase,C00006 + C00001 <=> C00009 + C00003,NADP+ + H2O <=> Orthophosphate + NAD+,3.1.3.108       3.1.3.-,"['C00006', 'C00001']","['C00009', 'C00003']","[1, 1]","[1, 1]"
97,R00119,NADP+:nicotinate ADP-ribosyltransferase,C00006 + C00253 <=> C00153 + C13051,NADP+ + Nicotinate <=> Nicotinamide + Nicotinic acid adenine dinucleotide phosphate,2.4.99.20,"['C00006', 'C00253']","['C00153', 'C13051']","[1, 1]","[1, 1]"
98,R00120,glutathione:oxygen oxidoreductase,C00007 + 2 C00051 <=> C00127 + C00027,Oxygen + 2 Glutathione <=> Glutathione disulfide + Hydrogen peroxide,1.8.3.3,"['C00007', 'C00051']","['C00127', 'C00027']","[1, '2']","[1, 1]"
99,R00122,ADP phosphohydrolase,C00008 + C00001 <=> C00020 + C00009,ADP + H2O <=> AMP + Orthophosphate,3.6.1.5,"['C00008', 'C00001']","['C00020', 'C00009']","[1, 1]","[1, 1]"
100,R00123,ADP aminohydrolase,C00008 + C00001 <=> C00104 + C00014,ADP + H2O <=> IDP + Ammonia,3.5.4.7         3.5.4.17,"['C00008', 'C00001']","['C00104', 'C00014']","[1, 1]","[1, 1]"
101,R00124,ATP:ADP phosphatransferase,C00002 + C00008 <=> C00008 + C00002,ATP + ADP <=> ADP + ATP,2.7.4.6,"['C00002', 'C00008']","['C00008', 'C00002']","[1, 1]","[1, 1]"
102,R00125,"P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase",C01260 + C00001 <=> 2 C00008,"P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> 2 ADP",3.6.1.41,"['C01260', 'C00001']",['C00008'],"[1, 1]",['2']
103,R00126,ADP:ATP adenylyltransferase,C00008 + C00002 <=> C00009 + C01260,"ADP + ATP <=> Orthophosphate + P1,P4-Bis(5'-adenosyl)tetraphosphate",2.7.7.53,"['C00008', 'C00002']","['C00009', 'C01260']","[1, 1]","[1, 1]"
104,R00127,ATP:AMP phosphotransferase,C00002 + C00020 <=> 2 C00008,ATP + AMP <=> 2 ADP,2.7.4.3,"['C00002', 'C00020']",['C00008'],"[1, 1]",['2']
105,R00128,Adenosine-tetraphosphate phosphohydrolase,C03483 + C00001 <=> C00002 + C00009,Adenosine tetraphosphate + H2O <=> ATP + Orthophosphate,3.6.1.14,"['C03483', 'C00001']","['C00002', 'C00009']","[1, 1]","[1, 1]"
106,R00129,"(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide hydro-lyase (ATP-hydrolysing, NADH-forming)",C00002 + C04856 <=> C00008 + C00009 + C00004,"ATP + (6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide <=> ADP + Orthophosphate + NADH",4.2.1.93,"['C00002', 'C04856']","['C00008', 'C00009', 'C00004']","[1, 1]","[1, 1, 1]"
107,R00130,ATP:dephospho-CoA 3'-phosphotransferase,C00002 + C00882 <=> C00008 + C00010,ATP + Dephospho-CoA <=> ADP + CoA,2.7.1.24,"['C00002', 'C00882']","['C00008', 'C00010']","[1, 1]","[1, 1]"
108,R00131,Urea amidohydrolase,C00086 + C00001 <=> C00011 + 2 C00014,Urea + H2O <=> CO2 + 2 Ammonia,3.5.1.5,"['C00086', 'C00001']","['C00011', 'C00014']","[1, 1]","[1, '2']"
109,R00132,carbonate hydro-lyase (carbon-dioxide-forming),C01353 <=> C00011 + C00001,Carbonic acid <=> CO2 + H2O,4.2.1.1,['C01353'],"['C00011', 'C00001']",[1],"[1, 1]"
110,R00134,formate:NADP+ oxidoreductase,C00058 + C00006 <=> C00011 + C00005 + C00080,Formate + NADP+ <=> CO2 + NADPH + H+,1.17.1.10,"['C00058', 'C00006']","['C00011', 'C00005', 'C00080']","[1, 1]","[1, 1, 1]"
111,R00135,Peptide + H2O <=> L-Proline + Peptide,C00012 + C00001 <=> C00148 + C00012,Peptide + H2O <=> L-Proline + Peptide,3.4.11.5,"['C00012', 'C00001']","['C00148', 'C00012']","[1, 1]","[1, 1]"
112,R00137,ATP:nicotinamide-nucleotide adenylyltransferase,C00002 + C00455 <=> C00013 + C00003,ATP + Nicotinamide D-ribonucleotide <=> Diphosphate + NAD+,2.7.7.1         2.7.7.18,"['C00002', 'C00455']","['C00013', 'C00003']","[1, 1]","[1, 1]"
113,R00138,Triphosphate phosphohydrolase,C00536 + C00001 <=> C00013 + C00009,Triphosphate + H2O <=> Diphosphate + Orthophosphate,3.6.1.25,"['C00536', 'C00001']","['C00013', 'C00009']","[1, 1]","[1, 1]"
114,R00139,ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase,C11038 + C00002 <=> C11039 + C00008,2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ATP <=> 2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate + ADP,2.7.4.6,"['C11038', 'C00002']","['C11039', 'C00008']","[1, 1]","[1, 1]"
115,R00140,ATP:5-hydroxymethyldeoxycytidylate phosphotransferase,C11038 + C00008 <=> C03997 + C00002,2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ADP <=> 5-Hydroxymethyldeoxycytidylate + ATP,2.7.4.12,"['C11038', 'C00008']","['C03997', 'C00002']","[1, 1]","[1, 1]"
116,R00141,ATP:ammonia phosphotransferase,C00002 + C00014 <=> C00008 + C02306,ATP + Ammonia <=> ADP + Phosphoramidate,2.7.3.8,"['C00002', 'C00014']","['C00008', 'C02306']","[1, 1]","[1, 1]"
117,R00143,ammonia:NAD+ oxidoreductase,C00014 + C00003 + C00001 <=> C00192 + C00004 + C00080,Ammonia + NAD+ + H2O <=> Hydroxylamine + NADH + H+,1.7.1.10        1.7.99.1,"['C00014', 'C00003', 'C00001']","['C00192', 'C00004', 'C00080']","[1, 1, 1]","[1, 1, 1]"
118,R00145,alpha-amino acid:NAD+ oxidoreductase (deaminating),C05167 + C00001 + C00003 <=> C00161 + C00014 + C00004 + C00080,alpha-Amino acid + H2O + NAD+ <=> 2-Oxo acid + Ammonia + NADH + H+,1.4.1.1         1.4.1.2         1.4.1.3         1.4.1.4         ,"['C05167', 'C00001', 'C00003']","['C00161', 'C00014', 'C00004', 'C00080']","[1, 1, 1]","[1, 1, 1, 1]"
119,R00146,alpha-amino acid:NADP+ oxidoreductase (deaminating),C05167 + C00001 + C00006 <=> C00161 + C00014 + C00005 + C00080,alpha-Amino acid + H2O + NADP+ <=> 2-Oxo acid + Ammonia + NADPH + H+,1.4.1.1         1.4.1.2         1.4.1.3         1.4.1.4         ,"['C05167', 'C00001', 'C00006']","['C00161', 'C00014', 'C00005', 'C00080']","[1, 1, 1]","[1, 1, 1, 1]"
120,R00148,"ammonia,ubiquinol:oxygen oxidoreductase",C00014 + C00007 + C00390 <=> C00192 + C00001 + C00399,Ammonia + Oxygen + Ubiquinol <=> Hydroxylamine + H2O + Ubiquinone,1.14.99.39,"['C00014', 'C00007', 'C00390']","['C00192', 'C00001', 'C00399']","[1, 1, 1]","[1, 1, 1]"
121,R00149,"Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)",2 C00002 + C00014 + C00011 + C00001 <=> 2 C00008 + C00009 + C00169,2 ATP + Ammonia + CO2 + H2O <=> 2 ADP + Orthophosphate + Carbamoyl phosphate,6.3.4.16,"['C00002', 'C00014', 'C00011', 'C00001']","['C00008', 'C00009', 'C00169']","['2', 1, 1, 1]","['2', 1, 1]"
122,R00150,ATP:carbamate phosphotransferase,C00002 + C00014 + C00288 <=> C00008 + C00169 + C00001,ATP + Ammonia + HCO3- <=> ADP + Carbamoyl phosphate + H2O,2.7.2.2,"['C00002', 'C00014', 'C00288']","['C00008', 'C00169', 'C00001']","[1, 1, 1]","[1, 1, 1]"
123,R00152,hydrogen cyanide aminohydrolase,C01326 + 2 C00001 <=> C00014 + C00058,Hydrogen cyanide + 2 H2O <=> Ammonia + Formate,3.5.5.-,"['C01326', 'C00001']","['C00014', 'C00058']","[1, '2']","[1, 1]"
124,R00153,Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing),C05361 + 2 C05359 + 2 C00080 <=> 2 C00014,Hydrazine + 2 e- + 2 H+ <=> 2 Ammonia,1.18.6.1,"['C05361', 'C05359', 'C00080']",['C00014'],"[1, '2', '2']",['2']
125,R00155,UDP phosphohydrolase,C00015 + C00001 <=> C00105 + C00009,UDP + H2O <=> UMP + Orthophosphate,3.6.1.5         3.6.1.6,"['C00015', 'C00001']","['C00105', 'C00009']","[1, 1]","[1, 1]"
126,R00156,ATP:UDP phosphotransferase,C00002 + C00015 <=> C00008 + C00075,ATP + UDP <=> ADP + UTP,2.7.4.6,"['C00002', 'C00015']","['C00008', 'C00075']","[1, 1]","[1, 1]"
127,R00157,Uridine triphosphate:AMP phosphotransferase,C00075 + C00020 <=> C00015 + C00008,UTP + AMP <=> UDP + ADP,2.7.4.10,"['C00075', 'C00020']","['C00015', 'C00008']","[1, 1]","[1, 1]"
128,R00158,ATP:UMP phosphotransferase,C00002 + C00105 <=> C00008 + C00015,ATP + UMP <=> ADP + UDP,2.7.4.4         2.7.4.14        2.7.4.22,"['C00002', 'C00105']","['C00008', 'C00015']","[1, 1]","[1, 1]"
129,R00159,UTP phosphohydrolase,C00075 + C00001 <=> C00015 + C00009,UTP + H2O <=> UDP + Orthophosphate,3.6.1.5         3.6.1.39,"['C00075', 'C00001']","['C00015', 'C00009']","[1, 1]","[1, 1]"
130,R00160,FAD nucleotidohydrolase,C00016 + C00001 <=> C00020 + C00061,FAD + H2O <=> AMP + FMN,3.6.1.9         3.6.1.18,"['C00016', 'C00001']","['C00020', 'C00061']","[1, 1]","[1, 1]"
131,R00161,ATP:FMN adenylyltransferase,C00002 + C00061 <=> C00013 + C00016,ATP + FMN <=> Diphosphate + FAD,2.7.7.2,"['C00002', 'C00061']","['C00013', 'C00016']","[1, 1]","[1, 1]"
132,R00162,ATP:protein phosphotransferase,C00002 + C00017 <=> C00008 + C00562,ATP + Protein <=> ADP + Phosphoprotein,2.7.11.1        2.7.11.8        2.7.11.9        2.7.11.10       ,"['C00002', 'C00017']","['C00008', 'C00562']","[1, 1]","[1, 1]"
133,R00164,Phosphoprotein phosphohydrolase,C00562 + C00001 <=> C00017 + C00009,Phosphoprotein + H2O <=> Protein + Orthophosphate,3.1.3.16,"['C00562', 'C00001']","['C00017', 'C00009']","[1, 1]","[1, 1]"
134,R00165,Protein <=> L-Alanyl-tRNA,C00017 <=> C00886,Protein <=> L-Alanyl-tRNA,,['C00017'],['C00886'],[1],[1]
135,R00166,Protein <=> L-Leucyl-tRNA,C00017 <=> C02047,Protein <=> L-Leucyl-tRNA,,['C00017'],['C02047'],[1],[1]
136,R00167,L-Arginyl-tRNA(Arg) <=> Protein-L-arginine,C02163 <=> C00613,L-Arginyl-tRNA(Arg) <=> Protein-L-arginine,,['C02163'],['C00613'],[1],[1]
137,R00168,Protein <=> L-Valyl-tRNA(Val),C00017 <=> C02554,Protein <=> L-Valyl-tRNA(Val),,['C00017'],['C02554'],[1],[1]
138,R00169,Protein <=> L-Glutamyl-tRNA(Glu),C00017 <=> C02987,Protein <=> L-Glutamyl-tRNA(Glu),,['C00017'],['C02987'],[1],[1]
139,R00170,Protein <=> L-Isoleucyl-tRNA(Ile),C00017 <=> C03127,Protein <=> L-Isoleucyl-tRNA(Ile),,['C00017'],['C03127'],[1],[1]
140,R00172,Protein <=> Selenomethionyl-tRNA(Met),C00017 <=> C05336,Protein <=> Selenomethionyl-tRNA(Met),,['C00017'],['C05336'],[1],[1]
141,R00173,pyridoxal-5'-phosphate phosphohydrolase,C00018 + C00001 <=> C00250 + C00009,Pyridoxal phosphate + H2O <=> Pyridoxal + Orthophosphate,3.1.3.74,"['C00018', 'C00001']","['C00250', 'C00009']","[1, 1]","[1, 1]"
142,R00174,ATP:pyridoxal 5'-phosphotransferase,C00002 + C00250 <=> C00008 + C00018,ATP + Pyridoxal <=> ADP + Pyridoxal phosphate,2.7.1.35,"['C00002', 'C00250']","['C00008', 'C00018']","[1, 1]","[1, 1]"
143,R00177,ATP:L-methionine S-adenosyltransferase,C00009 + C00013 + C00019 <=> C00002 + C00073 + C00001,Orthophosphate + Diphosphate + S-Adenosyl-L-methionine <=> ATP + L-Methionine + H2O,2.5.1.6,"['C00009', 'C00013', 'C00019']","['C00002', 'C00073', 'C00001']","[1, 1, 1]","[1, 1, 1]"
144,R00178,S-adenosyl-L-methionine carboxy-lyase [S-adenosyl 3-(methylsulfanyl)propylamine-forming],C00019 + C00080 <=> C01137 + C00011,S-Adenosyl-L-methionine + H+ <=> S-Adenosylmethioninamine + CO2,4.1.1.50,"['C00019', 'C00080']","['C01137', 'C00011']","[1, 1]","[1, 1]"
145,R00179,S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming),C00019 <=> C01234 + C00170,S-Adenosyl-L-methionine <=> 1-Aminocyclopropane-1-carboxylate + 5'-Methylthioadenosine,4.4.1.14,['C00019'],"['C01234', 'C00170']",[1],"[1, 1]"
146,R00181,AMP aminohydrolase,C00020 + C00001 <=> C00130 + C00014,AMP + H2O <=> IMP + Ammonia,3.5.4.6         3.5.4.17,"['C00020', 'C00001']","['C00130', 'C00014']","[1, 1]","[1, 1]"
147,R00182,AMP phosphoribohydrolase,C00020 + C00001 <=> C00147 + C00117,AMP + H2O <=> Adenine + D-Ribose 5-phosphate,3.2.2.4,"['C00020', 'C00001']","['C00147', 'C00117']","[1, 1]","[1, 1]"
148,R00183,adenosine 5'-monophosphate phosphohydrolase,C00020 + C00001 <=> C00212 + C00009,AMP + H2O <=> Adenosine + Orthophosphate,3.1.3.5,"['C00020', 'C00001']","['C00212', 'C00009']","[1, 1]","[1, 1]"
149,R00184,"P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase",C01260 + C00001 <=> C00002 + C00020,"P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> ATP + AMP",3.6.1.17        3.6.1.61,"['C01260', 'C00001']","['C00002', 'C00020']","[1, 1]","[1, 1]"
150,R00185,ATP:adenosine 5'-phosphotransferase,C00002 + C00212 <=> C00008 + C00020,ATP + Adenosine <=> ADP + AMP,2.7.1.20,"['C00002', 'C00212']","['C00008', 'C00020']","[1, 1]","[1, 1]"
151,R00187,"P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase",C06197 + C00001 <=> C00008 + C00020,"P1,P3-Bis(5'-adenosyl) triphosphate + H2O <=> ADP + AMP",3.6.1.29,"['C06197', 'C00001']","['C00008', 'C00020']","[1, 1]","[1, 1]"
152,R00188,"adenosine-3',5'-bisphosphate 3'-phosphohydrolase",C00054 + C00001 <=> C00020 + C00009,"Adenosine 3',5'-bisphosphate + H2O <=> AMP + Orthophosphate",3.1.3.7         3.1.3.97,"['C00054', 'C00001']","['C00020', 'C00009']","[1, 1]","[1, 1]"
153,R00189,deamido-NAD+:ammonia ligase (AMP-forming),C00002 + C00857 + C00014 <=> C00020 + C00013 + C00003,ATP + Deamino-NAD+ + Ammonia <=> AMP + Diphosphate + NAD+,6.3.1.5         6.3.5.1,"['C00002', 'C00857', 'C00014']","['C00020', 'C00013', 'C00003']","[1, 1, 1]","[1, 1, 1]"
154,R00190,AMP:diphosphate phospho-D-ribosyltransferase,C00020 + C00013 <=> C00147 + C00119,AMP + Diphosphate <=> Adenine + 5-Phospho-alpha-D-ribose 1-diphosphate,2.4.2.7,"['C00020', 'C00013']","['C00147', 'C00119']","[1, 1]","[1, 1]"
155,R00191,"adenosine 3',5'-phosphate 5'-nucleotidohydrolase",C00575 + C00001 <=> C00020,"3',5'-Cyclic AMP + H2O <=> AMP",3.1.4.17        3.1.4.53,"['C00575', 'C00001']",['C00020'],"[1, 1]",[1]
156,R00192,S-Adenosyl-L-homocysteine hydrolase,C00021 + C00001 <=> C00212 + C00155,S-Adenosyl-L-homocysteine + H2O <=> Adenosine + L-Homocysteine,3.13.2.1,"['C00021', 'C00001']","['C00212', 'C00155']","[1, 1]","[1, 1]"
157,R00193,S-Adenosyl-L-homocysteine aminohydrolase,C00021 + C00001 <=> C03431 + C00014,S-Adenosyl-L-homocysteine + H2O <=> S-Inosyl-L-homocysteine + Ammonia,3.5.4.28,"['C00021', 'C00001']","['C03431', 'C00014']","[1, 1]","[1, 1]"
158,R00194,S-Adenosyl-L-homocysteine homocysteinylribohydrolase,C00021 + C00001 <=> C03539 + C00147,S-Adenosyl-L-homocysteine + H2O <=> S-Ribosyl-L-homocysteine + Adenine,3.2.2.9,"['C00021', 'C00001']","['C03539', 'C00147']","[1, 1]","[1, 1]"
159,R00195,"2,3-diaminopropanoate ammonia-lyase (adding water",C06393 + C00001 <=> C00022 + 2 C00014,"2,3-Diaminopropanoate + H2O <=> Pyruvate + 2 Ammonia",4.3.1.15,"['C06393', 'C00001']","['C00022', 'C00014']","[1, 1]","[1, '2']"
160,R00196,(S)-Lactate:ferricytochrome-c 2-oxidoreductase,C00186 + 2 C00125 <=> C00022 + 2 C00126 + 2 C00080,(S)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+,1.1.2.3,"['C00186', 'C00125']","['C00022', 'C00126', 'C00080']","[1, '2']","[1, '2', '2']"
161,R00197,(R)-Lactate:ferricytochrome-c 2-oxidoreductase,C00256 + 2 C00125 <=> C00022 + 2 C00126 + 2 C00080,(R)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+,1.1.2.4,"['C00256', 'C00125']","['C00022', 'C00126', 'C00080']","[1, '2']","[1, '2', '2']"
162,R00198,(R)-Lactate:ferricytochrome-c-553 2-oxidoreductase,C00256 + 2 C01070 <=> C00022 + 2 C01071 + 2 C00080,(R)-Lactate + 2 Ferricytochrome c-553 <=> Pyruvate + 2 Ferrocytochrome c-553 + 2 H+,1.1.2.5,"['C00256', 'C01070']","['C00022', 'C01071', 'C00080']","[1, '2']","[1, '2', '2']"
163,R00199,"ATP:pyruvate,water phosphotransferase",C00002 + C00022 + C00001 <=> C00020 + C00074 + C00009,ATP + Pyruvate + H2O <=> AMP + Phosphoenolpyruvate + Orthophosphate,2.7.9.2,"['C00002', 'C00022', 'C00001']","['C00020', 'C00074', 'C00009']","[1, 1, 1]","[1, 1, 1]"
164,R00200,ATP:pyruvate 2-O-phosphotransferase,C00002 + C00022 <=> C00008 + C00074,ATP + Pyruvate <=> ADP + Phosphoenolpyruvate,2.7.1.40,"['C00002', 'C00022']","['C00008', 'C00074']","[1, 1]","[1, 1]"
165,R00203,pyruvaldehyde:NAD+ oxidoreductase,C00546 + C00003 + C00001 <=> C00022 + C00004 + C00080,Methylglyoxal + NAD+ + H2O <=> Pyruvate + NADH + H+,1.2.1.22        1.2.1.23,"['C00546', 'C00003', 'C00001']","['C00022', 'C00004', 'C00080']","[1, 1, 1]","[1, 1, 1]"
166,R00205,2-Oxopropanal:NADP+ oxidoreductase,C00546 + C00006 + C00001 <=> C00022 + C00005 + C00080,Methylglyoxal + NADP+ + H2O <=> Pyruvate + NADPH + H+,1.2.1.49,"['C00546', 'C00006', 'C00001']","['C00022', 'C00005', 'C00080']","[1, 1, 1]","[1, 1, 1]"
167,R00206,"ATP:pyruvate,phosphate phosphotransferase",C00002 + C00022 + C00009 <=> C00020 + C00074 + C00013,ATP + Pyruvate + Orthophosphate <=> AMP + Phosphoenolpyruvate + Diphosphate,2.7.9.1,"['C00002', 'C00022', 'C00009']","['C00020', 'C00074', 'C00013']","[1, 1, 1]","[1, 1, 1]"
168,R00207,Pyruvate:oxygen 2-oxidoreductase (phosphorylating),C00022 + C00009 + C00007 <=> C00227 + C00027 + C00011,Pyruvate + Orthophosphate + Oxygen <=> Acetyl phosphate + Hydrogen peroxide + CO2,1.2.3.3,"['C00022', 'C00009', 'C00007']","['C00227', 'C00027', 'C00011']","[1, 1, 1]","[1, 1, 1]"
169,R00208,Phosphoenolpyruvate phosphohydrolase,C00074 + C00001 <=> C00022 + C00009,Phosphoenolpyruvate + H2O <=> Pyruvate + Orthophosphate,3.1.3.60,"['C00074', 'C00001']","['C00022', 'C00009']","[1, 1]","[1, 1]"
170,R00209,pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating),C00022 + C00010 + C00003 <=> C00024 + C00011 + C00004 + C00080,Pyruvate + CoA + NAD+ <=> Acetyl-CoA + CO2 + NADH + H+,1.2.1.104,"['C00022', 'C00010', 'C00003']","['C00024', 'C00011', 'C00004', 'C00080']","[1, 1, 1]","[1, 1, 1, 1]"
171,R00210,pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating),C00022 + C00010 + C00006 <=> C00024 + C00011 + C00005 + C00080,Pyruvate + CoA + NADP+ <=> Acetyl-CoA + CO2 + NADPH + H+,1.2.1.51,"['C00022', 'C00010', 'C00006']","['C00024', 'C00011', 'C00005', 'C00080']","[1, 1, 1]","[1, 1, 1, 1]"
172,R00211,pyruvate:oxygen 2-oxidoreductase (CoA-acetylating),C00022 + C00010 + C00007 <=> C00027 + C00024 + C00011,Pyruvate + CoA + Oxygen <=> Hydrogen peroxide + Acetyl-CoA + CO2,1.2.3.6,"['C00022', 'C00010', 'C00007']","['C00027', 'C00024', 'C00011']","[1, 1, 1]","[1, 1, 1]"
173,R00212,Acetyl-CoA:formate C-acetyltransferase,C00024 + C00058 <=> C00010 + C00022,Acetyl-CoA + Formate <=> CoA + Pyruvate,2.3.1.54,"['C00024', 'C00058']","['C00010', 'C00022']","[1, 1]","[1, 1]"
174,R00213,O-carbamoyl-L-serine ammonia-lyase (decarboxylating,C03015 + C00001 <=> C00022 + 2 C00014 + C00011,O-Carbamoyl-L-serine + H2O <=> Pyruvate + 2 Ammonia + CO2,4.3.1.13,"['C03015', 'C00001']","['C00022', 'C00014', 'C00011']","[1, 1]","[1, '2', 1]"
175,R00214,(S)-malate:NAD+ oxidoreductase (decarboxylating),C00149 + C00003 <=> C00022 + C00011 + C00004 + C00080,(S)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+,1.1.1.38        1.1.1.39,"['C00149', 'C00003']","['C00022', 'C00011', 'C00004', 'C00080']","[1, 1]","[1, 1, 1, 1]"
176,R00215,(R)-Malate:NAD+ oxidoreductase (decarboxylating),C00497 + C00003 <=> C00022 + C00011 + C00004 + C00080,(R)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+,1.1.1.83,"['C00497', 'C00003']","['C00022', 'C00011', 'C00004', 'C00080']","[1, 1]","[1, 1, 1, 1]"
177,R00216,(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating),C00149 + C00006 <=> C00022 + C00011 + C00005 + C00080,(S)-Malate + NADP+ <=> Pyruvate + CO2 + NADPH + H+,1.1.1.40,"['C00149', 'C00006']","['C00022', 'C00011', 'C00005', 'C00080']","[1, 1]","[1, 1, 1, 1]"
178,R00217,oxaloacetate carboxy-lyase (pyruvate-forming),C00036 <=> C00022 + C00011,Oxaloacetate <=> Pyruvate + CO2,1.1.1.38        1.1.1.40        4.1.1.112,['C00036'],"['C00022', 'C00011']",[1],"[1, 1]"
179,R00218,acetylenedicarboxylate carboxy-lyase (pyruvate-forming),C03248 + C00001 <=> C00022 + C00011,Acetylenedicarboxylate + H2O <=> Pyruvate + CO2,4.1.1.78,"['C03248', 'C00001']","['C00022', 'C00011']","[1, 1]","[1, 1]"
180,R00219,2-Hydroxyethylenedicarboxylate carboxy-lyase (pyruvate-forming),C00022 + C00011 <=> C03981,Pyruvate + CO2 <=> 2-Hydroxyethylenedicarboxylate,4.1.1.-,"['C00022', 'C00011']",['C03981'],"[1, 1]",[1]
181,R00220,L-serine ammonia-lyase,C00065 <=> C00022 + C00014,L-Serine <=> Pyruvate + Ammonia,4.3.1.17        4.3.1.19,['C00065'],"['C00022', 'C00014']",[1],"[1, 1]"
182,R00221,D-serine ammonia-lyase,C00740 <=> C00022 + C00014,D-Serine <=> Pyruvate + Ammonia,4.3.1.18,['C00740'],"['C00022', 'C00014']",[1],"[1, 1]"
183,R00223,serine ammonia-lyase (pyruvate-forming),C00716 <=> C00022 + C00014,Serine <=> Pyruvate + Ammonia,4.3.1.15,['C00716'],"['C00022', 'C00014']",[1],"[1, 1]"
184,R00224,pyruvate carboxy-lyase (acetaldehyde-forming),C00022 <=> C00084 + C00011,Pyruvate <=> Acetaldehyde + CO2,4.1.1.1,['C00022'],"['C00084', 'C00011']",[1],"[1, 1]"
185,R00226,pyruvate:pyruvate acetaldehydetransferase (decarboxylating),C06010 + C00011 <=> 2 C00022,(S)-2-Acetolactate + CO2 <=> 2 Pyruvate,2.2.1.6,"['C06010', 'C00011']",['C00022'],"[1, 1]",['2']
186,R00227,Acetyl-CoA hydrolase,C00024 + C00001 <=> C00010 + C00033,Acetyl-CoA + H2O <=> CoA + Acetate,3.1.2.1,"['C00024', 'C00001']","['C00010', 'C00033']","[1, 1]","[1, 1]"
187,R00228,acetaldehyde:NAD+ oxidoreductase (CoA-acetylating),C00084 + C00010 + C00003 <=> C00024 + C00004 + C00080,Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+,1.2.1.10,"['C00084', 'C00010', 'C00003']","['C00024', 'C00004', 'C00080']","[1, 1, 1]","[1, 1, 1]"
188,R00229,acetate:CoA ligase (ADP-forming),C00002 + C00033 + C00010 <=> C00008 + C00024 + C00009,ATP + Acetate + CoA <=> ADP + Acetyl-CoA + Orthophosphate,6.2.1.13,"['C00002', 'C00033', 'C00010']","['C00008', 'C00024', 'C00009']","[1, 1, 1]","[1, 1, 1]"
189,R00230,acetyl-CoA:phosphate acetyltransferase,C00024 + C00009 <=> C00010 + C00227,Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate,2.3.1.8,"['C00024', 'C00009']","['C00010', 'C00227']","[1, 1]","[1, 1]"
190,R00233,malonyl-CoA carboxy-lyase (acetyl-CoA-forming),C00083 <=> C00024 + C00011,Malonyl-CoA <=> Acetyl-CoA + CO2,4.1.1.9,['C00083'],"['C00024', 'C00011']",[1],"[1, 1]"
191,R00235,Acetate:CoA ligase (AMP-forming),C00002 + C00033 + C00010 <=> C00020 + C00013 + C00024,ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA,6.2.1.1,"['C00002', 'C00033', 'C00010']","['C00020', 'C00013', 'C00024']","[1, 1, 1]","[1, 1, 1]"
192,R00236,acetyl adenylate:CoA acetyltransferase,C05993 + C00010 <=> C00020 + C00024,Acetyl adenylate + CoA <=> AMP + Acetyl-CoA,6.2.1.1,"['C05993', 'C00010']","['C00020', 'C00024']","[1, 1]","[1, 1]"
193,R00237,(3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming),C01011 <=> C00024 + C00022,(3S)-Citramalyl-CoA <=> Acetyl-CoA + Pyruvate,4.1.3.25,['C01011'],"['C00024', 'C00022']",[1],"[1, 1]"
194,R00238,acetyl-CoA:acetyl-CoA C-acetyltransferase,2 C00024 <=> C00010 + C00332,2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA,2.3.1.9         2.3.1.16,['C00024'],"['C00010', 'C00332']",['2'],"[1, 1]"
